Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAMC,Altisource Asset Management Corp Com,$40.03,-0.57,-1.404%,70389553.00,United States,,21726,Finance,Real Estate
AAU,Almaden Minerals Ltd. Common Shares,$0.149,0.002,1.361%,20445990.00,Canada,2015,59557,,
ACAQ,Athena Consumer Acquisition Corp. Class A Common Stock,$11.09,-0.28,-2.463%,0.00,,2021,1664,Finance,Blank Checks
ACU,Acme United Corporation. Common Stock,$31.63,1.31,4.321%,112151282.00,United States,1988,7404,Consumer Discretionary,Industrial Machinery/Components
ADEX,Adit EdTech Acquisition Corp. Common Stock,$10.58,0.02,0.189%,99107325.00,,2021,5114,Technology,EDP Services
ADRT,Ault Disruptive Technologies Corporation Common Stock,$11.45,0.00,0.00%,164593750.00,,2022,3759,Finance,Blank Checks
AE,Adams Resources & Energy Inc. Common Stock,$34.65,-0.28,-0.802%,87826835.00,United States,1980,1230,Energy,Oil Refining/Marketing
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,$5.31,0.00,0.00%,570094875.00,United States,,21029,Finance,Finance/Investors Services
AEON,AEON Biopharma Inc. Class A Common Stock,$7.97,0.27,3.506%,0.00,,,70145,Health Care,Biotechnology: Pharmaceutical Preparations
AGE,AgeX Therapeutics Inc. Common Stock,$0.738,0.008,1.096%,28008031.00,,2018,1878,Health Care,Biotechnology: Pharmaceutical Preparations
AIM,AIM ImmunoTech Inc. Common Stock,$0.616,-0.014,-2.222%,29819510.00,United States,1997,102286,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$9.2724,-0.1276,-1.357%,29641767.00,United States,2014,462,Consumer Discretionary,Professional Services
AIRI,Air Industries Group Common Stock,$3.16,-0.08,-2.469%,10299600.00,United States,,5409,Industrials,Military/Government/Technical
AMBI,Ambipar Emergency Response Class A Ordinary Shares,$9.50,-0.02,-0.21%,526583575.00,,,3940,Industrials,Environmental Services
AMBO,Ambow Education Holding Ltd. American Depository Shares each representing two Class A ordinary shares,$0.2132,-0.0033,-1.524%,5556794.00,China,,108141,Consumer Discretionary,Educational Services
AMPE,Ampio Pharmaceuticals Inc.,$0.2128,0.0017,0.805%,3213892.00,United States,2022,625623,Health Care,Biotechnology: Pharmaceutical Preparations
AMS,American Shared Hospital Services Common Stock,$2.602,0.052,2.039%,16168828.00,United States,1988,12230,Health Care,Medical Specialities
APT,Alpha Pro Tech Ltd. Common Stock,$3.85,-0.04,-1.028%,46924593.00,Canada,2000,12883,Health Care,Industrial Specialties
AREN,The Arena Group Holdings Inc. Common Stock,$3.84,-0.01,-0.26%,84476536.00,,2022,4777,Health Care,Medical/Dental Instruments
ARMP,Armata Pharmaceuticals Inc. Common Stock,$3.86,0.17,4.607%,139518565.00,United States,,87711,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$0.6868,0.00,0.00%,81863440.00,Canada,,322583,Basic Materials,Metal Mining
